Data Terms of Use,https://www.edf.org/airqualitymaps/download-oakland-air-pollution-data ,,,
Longitude,Latitude,NO Value,NO2 Value,BC Value
-122.1836942,37.72899702,4.372619092,10.56676379,0.24033376
-122.1836937,37.74736312,4.105263194,9.093216838,0.439197754
-122.1836791,37.75540581,1.800000016,5.167666753,0.241263443
-122.1836761,37.7313197,3.062500039,7.569334887,0.426744504
-122.1836733,37.73535167,12.84574491,11.11493995,0.435681753
-122.1836711,37.74247656,10.63432802,10.537833,0.464509229
-122.1836706,37.7575805,9.527356796,9.355272597,0.414758797
-122.1836675,37.73008199,4.342105332,10.74814663,0.373631876
-122.1836652,37.75320212,3.770833348,7.512750149,0.303834331
-122.1836637,37.73393672,1.498299368,6.140530918,0.209540579
-122.1836596,37.7303825,3.667000023,9.488655779,0.170786062
-122.1836579,37.758458,1.65873022,4.297474939,-0.017310559
-122.1836527,37.73854171,2.24999999,7.779881139,0.288933089
-122.1836412,37.75904303,1.658119737,4.698393316,0.133914456
-122.1836411,37.75289698,3.250000125,7.747200155,0.356049575
-122.1836321,37.75027217,6.904266031,9.146900491,0.28834148
-122.1836219,37.73179999,2.666666793,6.211791654,0.439574469
-122.1836135,37.74926671,3.998815159,6.493731573,0.267845924
-122.1836088,37.73588182,55.97103378,19.26859682,0.680808731
-122.1836013,37.76049695,2.411538551,6.727732132,-0.174871206
-122.1835935,37.73420129,2.222222291,6.085466719,0.424996858
-122.1835893,37.73158115,3.93548399,7.471000058,0.323216652
-122.1835699,37.76146706,7.995815792,13.1173717,0.416855327
-122.1835675,37.73560864,11.64000008,10.87779007,0.301635457
-122.1835536,37.7551384,2.310185226,4.615000129,0.27276559
-122.1835504,37.7283697,5.262222278,12.27725304,0.406940111
-122.183545,37.73467478,5.161290568,8.637359041,0.364683115
-122.183543,37.73651985,10.23972605,11.04502759,0.345312036
-122.1835412,37.72976016,4.038461663,10.4827207,0.371298984
-122.1835303,37.73751132,4.406250111,11.71358858,0.438993697
-122.1835242,37.74389788,8.034710175,10.80933348,0.557837461
-122.1835233,37.73446587,3.250000067,8.444468113,0.329684883
-122.1835177,37.75663045,4.1052633,7.865120416,0.260180678
-122.1835157,37.73913918,3.440298548,7.067204874,0.391400595
-122.1835141,37.74664953,5.342254223,10.59709607,0.353305724
-122.1835097,37.73528257,9.200000018,11.17490539,0.417419466
-122.1835068,37.73775874,2.364013322,6.083612842,0.39190243
-122.1835061,37.73184327,3.875000034,5.873312324,0.462859457
-122.1834953,37.73587928,29.21052669,18.05334832,0.327149991
-122.1834941,37.7361364,38.62443392,18.35569231,0.776582879
-122.1834848,37.75427329,3.047619192,7.672773328,0.418201861
-122.1834799,37.76168163,9.555555639,13.18526278,0.505976379
-122.1834708,37.72986126,4.11428591,9.690950084,0.448606017
-122.1834616,37.73586562,10.8970352,10.2779713,0.383525742
-122.183461,37.75266754,2.949074165,7.450857219,0.386990732
-122.1834418,37.75241906,3.208333471,6.385272626,0.384848591
-122.1834371,37.73210804,3.200000059,5.994000196,0.180097996
-122.1834369,37.74228033,11.05000023,10.75090911,0.47867538
-122.1834295,37.75755778,8.86607146,9.151766918,0.33019462
-122.1834224,37.74852492,3.000000142,5.373019908,0.234196965
-122.1834157,37.72915243,4.272321479,9.813990373,0.345149968
-122.1834148,37.75557631,2.452736424,5.674295891,0.608334772
-122.1834083,37.75141474,3.084745858,5.86760429,0.418496
-122.1834071,37.74750922,3.75000013,7.042570716,0.370683205
-122.1834018,37.73872451,2.105263258,7.82441409,0.087444987
-122.1833935,37.75862841,1.510256462,3.963040197,0.12240815
-122.183382,37.73053896,4.310344932,10.28486411,0.102188352
-122.1833781,37.75744212,8.705357322,8.73587513,0.288643694
-122.1833768,37.75921341,2.42469883,4.809398542,0.058716656
-122.1833745,37.75334304,4.455882404,7.556571341,0.284713766
-122.1833681,37.73237281,2.816666725,5.920800018,0.423180658
-122.1833661,37.73119519,3.401666673,8.206249952,0.104013888
-122.1833509,37.73638039,25.49999943,14.47010888,0.666693164
-122.1833485,37.7464479,5.803571548,9.4739582,0.278270019
-122.183348,37.7361205,18.73125015,11.68349981,0.289475138
-122.1833401,37.75492774,2.030303087,4.448333422,0.250129592
-122.1833399,37.75041102,6.339181258,9.017912756,0.273428824
-122.1833354,37.76066583,3.884210571,6.723863674,0.078704387
-122.1833282,37.74642301,4.500000039,10.45338011,0.316839867
-122.1833215,37.74940587,3.791469154,6.392331151,0.266418833
-122.1833054,37.76163741,8.226437405,12.99394324,0.51394809
-122.1832991,37.73263758,3.085714313,5.445000029,0.458077522
-122.1832968,37.73645348,24.42307756,14.70975936,0.729064957
-122.1832847,37.73894055,2.368421073,6.854375184,0.303463991
-122.1832846,37.73176347,3.11805553,6.966699991,0.643979526
-122.1832778,37.73769272,2.444444431,7.049647098,0.213065202
-122.1832771,37.72963894,3.817432972,9.209183168,0.279688863
-122.1832742,37.73756135,3.157894887,8.188999891,0.403617854
-122.1832644,37.75244765,3.163959699,6.78843759,0.274282011
-122.1832616,37.7299145,4.240384751,9.64803122,0.430213138
-122.1832534,37.75680101,5.49999997,8.054960047,0.184001905
-122.1832301,37.73290235,1.939655265,5.441400003,0.369518094
-122.1832296,37.74403343,7.447368441,11.18800004,0.503992485
-122.1832233,37.73458645,3.599999872,8.322941786,0.469851213
-122.1832219,37.75444511,2.41176482,7.356111209,0.268441929
-122.1832143,37.76185088,8.096153665,12.87257178,0.638730329
-122.1832026,37.7420841,10.99999994,11.0443632,0.565700389
-122.1832003,37.73636313,27.34615401,12.54149985,0.48846298
-122.1831878,37.73519465,4.472339331,11.16873025,0.566375713
-122.183174,37.73578981,5.461206983,10.29749869,0.533356961
-122.1831611,37.73316712,2.095555602,5.417399979,0.354556325
-122.1831603,37.75772263,5.333333515,6.366133675,0.174117226
-122.1831505,37.75574682,2.981481501,5.746135473,0.499395604
-122.1831485,37.75255648,2.492686645,5.6119342,0.182226153
-122.1831429,37.74619615,4.410714452,10.21468878,0.417904705
-122.1831371,37.72930785,2.91428575,9.043810528,0.562806488
-122.1831344,37.73658694,25.00000037,14.34684966,0.658397923
-122.183129,37.75879883,2.072064777,3.978988483,0.10181879
-122.1831288,37.74866195,3.789473717,5.262492437,0.057810761
-122.1831266,37.75471708,3.810343875,4.56657144,0.42276578
-122.1831206,37.74765531,2.133333435,5.448972238,0.28755513
-122.1831151,37.7515522,2.318181868,5.738086104,0.315189954
-122.1831123,37.75938378,1.363562799,5.042236121,0.080116395
-122.1830921,37.73343189,2.040816376,5.363699913,0.422443262
-122.1830863,37.75221751,5.363426063,6.637000084,0.484181355
-122.1830857,37.75730351,11.14814849,7.950250004,0.313696007
-122.183084,37.72941625,3.333333414,8.546951996,0.219290628
-122.1830839,37.75348396,4.301120528,7.441363725,0.272029382
-122.1830694,37.76083472,1.776315823,6.659370327,0.205410196
